Age,Gender Identity,Gender Alignment
16,male,cisgender
30,both,transgender
42,male,cisgender
32,genderqueer,complicated
24,male,cisgender
32,male,cisgender
30,mostly_male,cisgender
27,female,cisgender
20,neutrois,transgender
42,female,transgender
35,neutrois,transgender
29,female,transgender
25,mostly_female,transgender
20,male,cisgender
17,male,cisgender
31,female,transgender
18,male,cisgender
18,female,cisgender
13,male,transgender
37,male,cisgender
21,male,transgender
21,male,cisgender
21,male,cisgender
25,male,cisgender
23,male,cisgender
18,female,transgender
42,male,cisgender
23,male,complicated
24,male,cisgender
26,mostly_male,complicated
29,female,cisgender
22,mostly_male,cisgender
20,mostly_male,cisgender
23,male,cisgender
32,male,cisgender
17,mostly_male,complicated
35,male,cisgender
32,male,cisgender
26,mostly_male,complicated
27,female,cisgender
22,male,cisgender
35,male,cisgender
21,male,cisgender
20,male,cisgender
28,male,cisgender
46,male,cisgender
26,male,cisgender
30,male,cisgender
0,female,transgender
24,male,cisgender
26,male,cisgender
35,male,cisgender
23,male,cisgender
29,male,cisgender
25,male,cisgender
24,male,cisgender
18,male,cisgender
24,male,cisgender
23,male,cisgender
25,male,cisgender
46,male,cisgender
32,mostly_male,cisgender
27,male,cisgender
25,genderqueer,transgender
47,male,cisgender
25,male,cisgender
30,male,cisgender
25,mostly_female,complicated
22,male,cisgender
25,male,cisgender
31,male,cisgender
27,male,cisgender
39,male,cisgender
25,male,cisgender
20,male,cisgender
16,male,cisgender
30,mostly_male,cisgender
30,mostly_female,cisgender
23,male,cisgender
30,mostly_female,cisgender
33,male,cisgender
19,male,cisgender
21,mostly_male,cisgender
27,male,cisgender
15,female,cisgender
21,mostly_male,cisgender
24,female,cisgender
30,female,cisgender
26,male,cisgender
32,female,cisgender
29,mostly_female,transgender
34,male,cisgender
26,male,cisgender
23,neutrois,transgender
17,female,cisgender
16,male,cisgender
29,male,cisgender
16,male,cisgender
24,female,cisgender
34,male,cisgender
31,male,cisgender
18,male,cisgender
19,male,cisgender
29,female,cisgender
33,male,cisgender
25,female,cisgender
20,mostly_female,cisgender
29,male,cisgender
16,male,cisgender
55,male,cisgender
21,female,cisgender
20,nonbinary_nos,complicated
31,mostly_male,transgender
25,female,cisgender
36,male,cisgender
16,male,cisgender
20,male,cisgender
37,female,cisgender
17,male,cisgender
16,female,cisgender
32,male,cisgender
17,male,cisgender
17,male,cisgender
46,male,cisgender
20,male,cisgender
22,male,cisgender
21,male,cisgender
30,male,cisgender
19,female,transgender
27,female,cisgender
22,male,cisgender
30,male,cisgender
29,male,cisgender
38,male,cisgender
58,mostly_male,cisgender
26,male,cisgender
26,male,cisgender
28,male,cisgender
27,male,cisgender
21,male,cisgender
23,female,transgender
26,male,cisgender
32,male,transgender
31,female,transgender
26,genderqueer,transgender
30,male,cisgender
33,male,cisgender
35,female,cisgender
26,male,cisgender
21,male,cisgender
19,male,cisgender
17,male,cisgender
17,male,cisgender
21,male,cisgender
25,male,cisgender
16,male,cisgender
19,male,cisgender
21,male,cisgender
17,female,cisgender
19,male,cisgender
18,male,cisgender
16,male,cisgender
55,male,cisgender
34,male,cisgender
18,male,cisgender
27,female,cisgender
26,male,cisgender
23,male,cisgender
20,female,cisgender
27,male,cisgender
33,male,cisgender
31,male,cisgender
26,male,cisgender
26,male,complicated
18,female,cisgender
22,male,cisgender
19,female,cisgender
19,mostly_female,complicated
23,male,cisgender
40,female,cisgender
0,male,cisgender
23,mostly_male,transgender
25,mostly_male,complicated
26,male,cisgender
24,male,cisgender
17,male,cisgender
14,male,cisgender
19,genderqueer,transgender
17,male,cisgender
26,male,cisgender
16,nonbinary_nos,complicated
22,female,cisgender
22,genderqueer,complicated
29,male,cisgender
19,male,cisgender
22,female,cisgender
24,female,cisgender
20,female,cisgender
30,male,cisgender
45,male,cisgender
22,male,cisgender
23,male,cisgender
16,male,cisgender
23,male,cisgender
18,male,complicated
21,male,cisgender
24,male,cisgender
43,male,cisgender
18,male,cisgender
25,male,cisgender
27,male,cisgender
18,male,cisgender
24,female,cisgender
17,male,cisgender
20,female,cisgender
24,male,cisgender
22,male,cisgender
23,mostly_male,cisgender
21,male,cisgender
19,female,cisgender
22,female,cisgender
20,male,cisgender
28,male,cisgender
19,mostly_female,cisgender
24,female,cisgender
17,female,cisgender
36,female,cisgender
21,male,cisgender
24,male,cisgender
25,male,transgender
29,male,cisgender
20,male,cisgender
20,female,cisgender
18,mostly_female,cisgender
18,male,cisgender
32,male,cisgender
45,female,cisgender
24,female,cisgender
34,mostly_male,complicated
17,male,cisgender
17,genderqueer,complicated
15,both,complicated
25,male,cisgender
21,male,cisgender
25,mostly_female,transgender
16,mostly_male,cisgender
20,mostly_male,cisgender
19,mostly_female,cisgender
32,male,cisgender
20,male,cisgender
24,mostly_male,complicated
27,male,cisgender
18,male,cisgender
14,neutrois,transgender
28,male,cisgender
18,male,cisgender
28,male,cisgender
20,male,cisgender
28,female,cisgender
19,male,cisgender
23,male,cisgender
17,male,cisgender
17,male,cisgender
18,male,cisgender
36,male,cisgender
34,male,cisgender
20,male,cisgender
19,female,cisgender
32,mostly_male,cisgender
23,male,cisgender
23,male,cisgender
22,male,cisgender
21,female,transgender
20,male,cisgender
16,male,cisgender
20,mostly_male,cisgender
17,male,cisgender
19,male,cisgender
19,male,cisgender
0,male,cisgender
18,female,cisgender
25,male,cisgender
30,male,cisgender
19,female,cisgender
22,neutrois,transgender
18,mostly_female,cisgender
31,mostly_male,cisgender
33,female,cisgender
45,male,cisgender
20,mostly_male,cisgender
30,female,transgender
28,male,cisgender
23,male,cisgender
33,female,cisgender
23,male,cisgender
18,neutrois,transgender
23,male,cisgender
22,male,cisgender
27,female,cisgender
28,mostly_male,cisgender
25,male,cisgender
18,male,cisgender
21,male,transgender
20,female,transgender
24,male,cisgender
21,male,cisgender
39,female,cisgender
21,male,cisgender
20,female,cisgender
24,male,cisgender
31,male,cisgender
21,male,cisgender
21,male,cisgender
22,genderqueer,cisgender
20,mostly_female,cisgender
19,male,transgender
21,male,complicated
26,male,cisgender
25,male,cisgender
18,male,cisgender
23,mostly_female,cisgender
22,male,cisgender
28,male,cisgender
24,mostly_female,complicated
37,male,cisgender
22,male,cisgender
21,mostly_male,complicated
34,nonbinary_nos,complicated
0,male,cisgender
19,nonbinary_nos,transgender
20,mostly_male,complicated
23,male,cisgender
24,male,cisgender
30,male,cisgender
30,mostly_male,cisgender
22,male,transgender
22,male,cisgender
22,genderqueer,transgender
22,female,cisgender
0,male,cisgender
23,male,cisgender
19,female,transgender
24,male,cisgender
17,male,cisgender
27,male,cisgender
22,genderqueer,complicated
24,male,cisgender
26,male,cisgender
22,female,transgender
0,male,cisgender
13,nonbinary_nos,transgender
30,female,cisgender
16,male,transgender
21,male,cisgender
32,female,cisgender
32,male,cisgender
27,male,cisgender
20,male,cisgender
23,male,cisgender
17,mostly_female,cisgender
24,male,cisgender
49,male,cisgender
22,male,cisgender
34,mostly_female,cisgender
27,male,cisgender
25,male,cisgender
30,male,cisgender
28,both,transgender
31,male,cisgender
36,female,cisgender
17,male,cisgender
23,female,cisgender
35,male,cisgender
17,male,cisgender
17,male,transgender
19,mostly_male,complicated
29,male,cisgender
20,female,cisgender
15,male,complicated
14,female,cisgender
22,nonbinary_nos,complicated
28,female,cisgender
19,male,cisgender
21,male,cisgender
17,mostly_male,cisgender
20,male,cisgender
18,male,cisgender
21,male,cisgender
21,male,transgender
30,nonbinary_nos,complicated
23,male,cisgender
19,male,cisgender
18,male,complicated
22,male,cisgender
28,mostly_male,cisgender
30,male,cisgender
19,female,cisgender
17,mostly_female,cisgender
32,male,cisgender
16,male,cisgender
29,male,cisgender
25,male,cisgender
30,both,transgender
32,male,cisgender
19,female,cisgender
16,female,cisgender
30,male,cisgender
29,female,cisgender
19,male,cisgender
46,male,cisgender
20,male,cisgender
31,nonbinary_nos,transgender
22,female,cisgender
21,genderqueer,complicated
21,female,cisgender
25,genderqueer,complicated
23,male,cisgender
51,male,cisgender
22,male,cisgender
20,male,cisgender
19,male,cisgender
44,male,cisgender
21,male,cisgender
24,male,cisgender
21,female,cisgender
37,male,cisgender
22,male,cisgender
24,male,cisgender
21,male,cisgender
27,male,cisgender
39,male,cisgender
19,genderqueer,transgender
20,mostly_male,complicated
19,male,cisgender
30,male,cisgender
19,male,cisgender
26,female,cisgender
26,male,cisgender
19,mostly_male,transgender
22,male,cisgender
22,male,cisgender
22,male,cisgender
32,mostly_female,cisgender
30,mostly_male,transgender
25,male,cisgender
30,male,cisgender
24,male,cisgender
28,male,cisgender
28,mostly_male,transgender
18,female,transgender
25,male,cisgender
17,male,cisgender
22,male,cisgender
25,male,cisgender
31,female,cisgender
28,male,cisgender
29,male,cisgender
39,male,cisgender
31,female,cisgender
23,male,cisgender
20,male,cisgender
26,female,cisgender
20,male,cisgender
33,male,cisgender
19,male,transgender
21,male,cisgender
20,male,cisgender
27,male,cisgender
20,male,cisgender
32,female,cisgender
17,male,cisgender
33,male,cisgender
19,nonbinary_nos,transgender
20,female,cisgender
22,male,cisgender
20,male,cisgender
17,male,transgender
29,male,cisgender
29,male,cisgender
23,mostly_female,transgender
53,male,cisgender
25,male,cisgender
32,male,cisgender
23,genderqueer,transgender
21,mostly_male,cisgender
19,male,cisgender
30,nonbinary_nos,transgender
29,male,cisgender
22,female,cisgender
19,female,cisgender
26,male,cisgender
28,male,cisgender
53,male,cisgender
24,genderqueer,transgender
28,female,cisgender
27,male,cisgender
34,male,cisgender
34,male,cisgender
18,genderqueer,complicated
26,male,cisgender
17,male,cisgender
29,male,cisgender
30,male,cisgender
25,mostly_female,complicated
18,male,cisgender
17,male,cisgender
25,male,cisgender
59,male,cisgender
21,male,complicated
0,mostly_male,cisgender
21,male,cisgender
34,mostly_male,cisgender
24,neutrois,transgender
36,male,cisgender
29,male,cisgender
22,mostly_female,cisgender
30,male,cisgender
20,male,cisgender
23,mostly_male,cisgender
16,male,complicated
22,both,complicated
25,male,cisgender
14,male,cisgender
31,male,cisgender
20,male,cisgender
22,male,cisgender
19,male,cisgender
29,male,cisgender
18,female,cisgender
17,male,cisgender
24,male,cisgender
30,male,cisgender
48,male,cisgender
24,male,transgender
19,genderqueer,transgender
28,male,cisgender
19,male,cisgender
24,mostly_male,cisgender
18,male,cisgender
23,mostly_female,cisgender
33,mostly_female,cisgender
29,female,cisgender
34,male,cisgender
21,male,cisgender
24,male,cisgender
25,male,cisgender
22,mostly_male,cisgender
25,male,cisgender
42,male,cisgender
21,mostly_male,complicated
21,male,cisgender
36,male,cisgender
24,male,cisgender
23,female,transgender
26,female,cisgender
18,male,cisgender
26,mostly_male,transgender
19,male,cisgender
29,male,cisgender
15,male,cisgender
20,male,cisgender
23,genderqueer,complicated
30,male,cisgender
19,male,cisgender
24,male,cisgender
24,mostly_male,transgender
24,male,cisgender
23,mostly_female,transgender
25,male,cisgender
21,female,cisgender
17,male,cisgender
0,both,transgender
24,male,cisgender
31,male,cisgender
20,male,cisgender
22,male,cisgender
24,female,cisgender
18,male,cisgender
23,male,cisgender
25,male,cisgender
28,male,cisgender
24,male,cisgender
20,male,cisgender
31,male,cisgender
24,male,cisgender
19,male,cisgender
23,male,cisgender
18,male,cisgender
22,male,cisgender
30,male,cisgender
21,male,cisgender
21,male,cisgender
17,male,cisgender
27,male,cisgender
27,male,cisgender
30,both,transgender
20,genderqueer,transgender
23,male,cisgender
29,male,cisgender
27,female,cisgender
23,male,cisgender
29,male,cisgender
27,mostly_female,transgender
18,male,cisgender
30,male,cisgender
19,male,cisgender
17,male,cisgender
19,nonbinary_nos,complicated
30,male,cisgender
20,male,cisgender
19,male,cisgender
29,male,cisgender
21,male,cisgender
32,male,cisgender
25,male,cisgender
17,genderqueer,cisgender
19,female,transgender
19,female,cisgender
24,male,cisgender
18,male,cisgender
16,mostly_male,cisgender
18,mostly_male,cisgender
25,male,cisgender
22,female,cisgender
36,male,cisgender
28,male,cisgender
23,male,cisgender
20,male,cisgender
13,mostly_female,cisgender
29,female,transgender
29,male,cisgender
28,male,cisgender
24,male,complicated
20,genderqueer,transgender
18,male,cisgender
27,male,cisgender
23,male,cisgender
34,mostly_female,cisgender
20,genderqueer,complicated
19,genderqueer,transgender
24,mostly_female,cisgender
28,female,cisgender
28,female,cisgender
18,male,cisgender
21,male,cisgender
16,male,cisgender
28,male,cisgender
28,male,cisgender
13,genderqueer,cisgender
24,genderqueer,transgender
18,male,cisgender
20,male,cisgender
14,male,cisgender
15,male,cisgender
21,male,cisgender
22,male,cisgender
20,male,cisgender
16,mostly_male,transgender
20,male,cisgender
19,male,cisgender
39,female,cisgender
14,mostly_male,transgender
16,mostly_male,cisgender
38,mostly_male,complicated
17,female,cisgender
16,female,cisgender
19,male,cisgender
22,male,cisgender
14,male,cisgender
21,male,cisgender
31,male,cisgender
25,male,cisgender
24,male,cisgender
17,male,transgender
27,male,cisgender
30,male,cisgender
31,genderqueer,complicated
28,male,cisgender
14,male,cisgender
18,male,cisgender
23,male,transgender
24,male,cisgender
26,male,cisgender
19,male,cisgender
21,genderqueer,transgender
24,male,cisgender
30,genderqueer,complicated
19,male,cisgender
42,male,cisgender
18,male,cisgender
22,mostly_male,cisgender
27,female,transgender
23,male,cisgender
24,male,cisgender
27,male,cisgender
23,male,cisgender
31,genderqueer,transgender
15,female,cisgender
38,mostly_male,cisgender
32,male,cisgender
37,male,cisgender
24,mostly_female,transgender
18,male,cisgender
21,male,cisgender
17,male,cisgender
26,male,cisgender
19,mostly_male,cisgender
35,male,cisgender
29,nonbinary_nos,complicated
20,male,cisgender
21,mostly_male,cisgender
27,male,cisgender
26,genderqueer,complicated
21,mostly_male,cisgender
29,male,cisgender
15,male,cisgender
35,mostly_female,cisgender
31,male,cisgender
18,genderqueer,transgender
27,male,cisgender
32,male,cisgender
37,mostly_male,complicated
41,male,cisgender
19,male,cisgender
25,male,cisgender
27,male,cisgender
25,female,cisgender
19,male,cisgender
28,male,cisgender
38,male,cisgender
28,male,cisgender
22,male,cisgender
26,male,cisgender
15,mostly_female,cisgender
23,male,cisgender
30,male,cisgender
19,male,cisgender
30,female,cisgender
21,male,cisgender
27,male,cisgender
25,female,transgender
23,male,cisgender
23,male,cisgender
40,male,cisgender
24,genderqueer,complicated
20,male,cisgender
19,genderqueer,transgender
21,male,cisgender
30,male,cisgender
32,male,cisgender
25,male,cisgender
24,nonbinary_nos,complicated
20,male,cisgender
23,male,cisgender
18,male,complicated
31,male,cisgender
18,male,cisgender
27,mostly_male,cisgender
25,male,cisgender
19,male,cisgender
21,male,cisgender
21,male,cisgender
23,male,cisgender
29,neutrois,complicated
28,female,cisgender
20,male,cisgender
26,male,cisgender
27,male,cisgender
22,male,cisgender
25,both,complicated
27,mostly_male,cisgender
27,male,cisgender
28,female,cisgender
23,genderqueer,complicated
27,male,cisgender
24,male,cisgender
30,male,cisgender
24,female,cisgender
30,male,cisgender
21,male,cisgender
20,male,cisgender
20,mostly_female,complicated
28,mostly_female,transgender
21,male,cisgender
16,male,cisgender
23,male,cisgender
23,mostly_female,cisgender
23,male,cisgender
33,male,cisgender
25,male,cisgender
27,male,transgender
16,mostly_male,complicated
27,male,cisgender
25,both,transgender
20,male,cisgender
26,male,cisgender
28,female,cisgender
24,male,cisgender
26,mostly_male,complicated
22,male,cisgender
22,male,cisgender
18,male,cisgender
15,female,transgender
30,male,cisgender
26,male,cisgender
16,male,cisgender
35,male,cisgender
20,male,cisgender
21,male,cisgender
24,female,cisgender
27,mostly_male,complicated
23,male,cisgender
14,male,cisgender
28,female,cisgender
23,female,cisgender
21,male,cisgender
26,male,cisgender
22,female,transgender
23,male,cisgender
22,male,cisgender
25,male,transgender
17,female,cisgender
39,male,cisgender
18,male,cisgender
22,male,cisgender
17,male,cisgender
16,nonbinary_nos,complicated
19,female,cisgender
99,male,cisgender
29,male,cisgender
20,female,cisgender
30,male,cisgender
28,male,cisgender
16,female,cisgender
27,male,cisgender
22,male,cisgender
28,male,cisgender
26,male,cisgender
22,female,transgender
22,genderqueer,transgender
23,male,cisgender
34,nonbinary_nos,transgender
17,mostly_female,cisgender
19,female,transgender
19,male,cisgender
24,neutrois,transgender
16,both,transgender
29,male,cisgender
16,nonbinary_nos,transgender
17,male,cisgender
27,male,cisgender
31,male,cisgender
21,mostly_male,transgender
20,male,cisgender
27,male,cisgender
37,male,cisgender
32,mostly_female,cisgender
27,mostly_male,transgender
28,male,cisgender
17,male,cisgender
21,male,transgender
34,male,cisgender
29,male,cisgender
19,male,cisgender
20,male,cisgender
20,male,cisgender
24,male,cisgender
29,male,cisgender
25,female,cisgender
30,male,cisgender
24,male,cisgender
25,female,transgender
17,male,cisgender
21,male,cisgender
32,male,cisgender
38,genderqueer,cisgender
35,male,cisgender
20,genderqueer,complicated
23,male,cisgender
19,male,cisgender
42,female,cisgender
29,genderqueer,complicated
23,male,cisgender
30,both,complicated
25,female,cisgender
39,male,cisgender
28,neutrois,cisgender
31,male,cisgender
26,male,cisgender
29,male,cisgender
40,male,cisgender
30,female,cisgender
18,male,cisgender
30,male,cisgender
18,male,cisgender
27,female,cisgender
24,male,cisgender
22,female,transgender
59,male,cisgender
17,female,cisgender
27,genderqueer,complicated
45,male,cisgender
24,genderqueer,transgender
30,male,cisgender
39,female,cisgender
21,male,cisgender
36,male,cisgender
26,mostly_female,transgender
25,male,cisgender
22,mostly_female,transgender
32,male,cisgender
27,male,cisgender
27,male,cisgender
27,genderqueer,complicated
19,male,cisgender
17,male,cisgender
19,mostly_male,cisgender
21,male,cisgender
23,male,cisgender
23,male,cisgender
19,male,cisgender
27,male,cisgender
27,male,cisgender
34,male,cisgender
40,male,cisgender
20,male,cisgender
21,male,cisgender
23,male,cisgender
23,male,cisgender
28,male,cisgender
30,male,cisgender
16,male,cisgender
25,female,cisgender
15,male,cisgender
29,male,cisgender
17,both,transgender
25,genderqueer,transgender
21,male,cisgender
37,male,cisgender
16,female,cisgender
29,male,cisgender
37,male,cisgender
20,male,cisgender
27,male,cisgender
38,male,cisgender
63,male,cisgender
20,female,cisgender
14,male,cisgender
21,male,cisgender
23,male,cisgender
22,male,cisgender
16,male,cisgender
27,male,cisgender
27,male,cisgender
44,male,cisgender
31,female,cisgender
20,male,cisgender
24,mostly_male,cisgender
26,male,cisgender
27,male,cisgender
26,male,cisgender
20,male,cisgender
15,male,cisgender
20,female,cisgender
16,male,cisgender
26,male,cisgender
26,male,cisgender
30,female,cisgender
16,female,transgender
17,male,cisgender
29,male,cisgender
28,male,cisgender
20,male,cisgender
48,male,cisgender
23,neutrois,transgender
19,male,cisgender
27,male,cisgender
21,female,cisgender
28,male,cisgender
22,mostly_male,cisgender
26,mostly_male,cisgender
23,mostly_female,transgender
20,genderqueer,complicated
26,male,cisgender
20,male,cisgender
22,male,cisgender
22,male,cisgender
24,male,cisgender
23,male,cisgender
20,male,cisgender
24,mostly_male,cisgender
26,male,cisgender
24,male,cisgender
26,male,cisgender
26,female,cisgender
20,female,cisgender
20,male,cisgender
23,male,transgender
17,female,cisgender
18,male,cisgender
19,mostly_male,transgender
22,mostly_male,cisgender
26,male,cisgender
27,male,cisgender
24,male,cisgender
21,genderqueer,complicated
26,male,cisgender
25,male,cisgender
47,male,cisgender
26,male,cisgender
23,male,cisgender
27,male,cisgender
18,male,cisgender
26,genderqueer,cisgender
16,neutrois,transgender
24,male,cisgender
21,male,cisgender
20,nonbinary_nos,transgender
16,male,cisgender
25,male,cisgender
24,male,cisgender
33,male,cisgender
24,female,cisgender
28,male,cisgender
23,male,transgender
41,genderqueer,complicated
19,male,cisgender
26,male,cisgender
25,genderqueer,transgender
45,male,cisgender
26,male,cisgender
20,male,cisgender
32,male,cisgender
20,male,cisgender
19,genderqueer,complicated
26,male,cisgender
26,male,cisgender
30,male,cisgender
22,male,cisgender
21,female,cisgender
35,mostly_male,cisgender
18,male,cisgender
34,male,cisgender
26,female,cisgender
26,male,cisgender
32,female,cisgender
24,male,cisgender
19,male,cisgender
19,female,transgender
25,male,cisgender
22,both,transgender
19,male,cisgender
25,male,transgender
15,male,cisgender
18,male,cisgender
23,female,cisgender
19,female,cisgender
18,female,cisgender
